Highest_Charting_Position,Number_of_Times_Charted,Week_of_Highest_Charting,Week_of_Highest_Charting_year,Week_of_Highest_Charting_month,Week_of_Highest_Charting_day,Song_Name,Streams,Artist,Artist_Followers,Song_ID,Release_Date,Release_Date_year,Release_Date_month,Release_Date_day,Weeks_Charted,Weeks_Charted_year,Weeks_Charted_month,Weeks_Charted_day,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,Chord,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10,Genre_11
100,11,3/19/2021,2021,3,19,Back In Blood (feat. Lil Durk),5198209,Pooh Shiesty,423237,7JuHVG3qQKQKxC4doneXVW,11/6/2020,2020,11,6,4/30/2021,2021,4,30,75,0.759,0.538,-8.256,0.384,0.151,0.126,146.933,184490,0.831,G#/Ab,memphis hip hop, rap, southern hip hop, tennessee hip hop, trap,,,,,,
46,83,4/17/2020,2020,4,17,lovely (with Khalid),6569547,Billie Eilish,47014200,0u2P5u6lvoDfwTYjAADbn4,4/19/2018,2018,4,19,7/23/2021,2021,7,23,86,0.351,0.296,-10.109,0.033,0.934,0.095,115.284,200186,0.12,E,electropop, pop,,,,,,,,,
39,5,12/18/2020,2020,12,18,White Christmas,7045348,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",359973,4so0Wek9Ig1p6CRCHuINwW,1/1/1942,1942,1,1,12/25/2020,2020,12,25,51,0.317,0.158,-16.485,0.038,0.673,0.338,130.503,177480,0.247,A,adult standards, easy listening, lounge, swing, vocal jazz,,,,,,
120,1,2/7/2020,2020,2,7,Birthday,6207326,Anne-Marie,8153871,5hff5RQeE84pznOt8WEWeO,2/7/2020,2020,2,7,2/7/2020,2020,2,7,65,0.609,0.785,-3.32,0.089,0.05,0.171,151.995,181467,0.756,B,dance pop, pop, pop dance, post-teen pop, tropical house, uk pop,,,,,
104,2,2/28/2020,2020,2,28,Puesto Pa' Guerrial,5359969,"Bad Bunny, Myke Towers",36177712,5gCg2qMPzKkW4jS4dBKdDs,2/29/2020,2020,2,29,3/6/2020,2020,3,6,64,0.867,0.686,-5.342,0.221,0.311,0.1,139.968,190207,0.658,E,latin, reggaeton, trap latino,,,,,,,,
55,4,3/27/2020,2020,3,27,Hallucinate,4472669,Dua Lipa,27167675,1nYeVF5vIBxMxfPoL0SIWg,3/27/2020,2020,3,27,8/14/2020,2020,8,14,72,0.627,0.69,-5.396,0.139,0.033,0.074,122.053,208505,0.627,A#/Bb,dance pop, pop, uk pop,,,,,,,,
177,1,3/13/2020,2020,3,13,Trap This Way (This Way),5043990,Lil Uzi Vert,11821805,7vTspUAmMKFkUpKL9HLZNL,3/13/2020,2020,3,13,3/13/2020,2020,3,13,59,0.71,0.586,-5.331,0.381,0.248,0.193,175.987,185439,0.207,D,melodic rap, philly rap, rap, trap,,,,,,,
102,1,12/18/2020,2020,12,18,Christmas Without You,8813922,Ava Max,3916979,1QLZKzC2pjP4ySf4ALrNhm,10/15/2020,2020,10,15,12/18/2020,2020,12,18,45,0.654,0.596,-4.68,0.046,0.424,0.11,118.078,169245,0.382,C#/Db,dance pop, pop,,,,,,,,,
64,3,7/9/2021,2021,7,9,De Museo,5016125,Bad Bunny,36142273,267NGliXM8YLVZiKAD9Otm,7/6/2021,2021,7,6,7/23/2021,2021,7,23,83,0.592,0.494,-10.618,0.075,0.237,0.13,132.037,209771,0.231,E,latin, reggaeton, trap latino,,,,,,,,
7,24,5/7/2021,2021,5,7,Fiel,7717211,"Los Legendarios, Wisin, Jhay Cortez",31488,7Bk0uXKk1uPT0XuQbpFzvs,2/4/2021,2021,2,4,7/23/2021,2021,7,23,88,0.849,0.701,-4.407,0.06,0.407,0.112,98.005,261667,0.505,F#/Gb,reggaeton, trap latino,,,,,,,,,
