Highest_Charting_Position,Number_of_Times_Charted,Week_of_Highest_Charting_year,Week_of_Highest_Charting_month,Week_of_Highest_Charting_day,Streams,Artist,Artist_Followers,Release_Date,Release_Date_year,Release_Date_month,Release_Date_day,Weeks_Charted_year,Weeks_Charted_month,Weeks_Charted_day,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,Chord,Genre_1
41,1,2020,11,27,12914431,Bad Bunny,36177712,11/27/2020,2020.0,11,27.0,2020,11,27,70,0.86,0.725,-6.7,0.249,0.046,0.099,145.001,162151,0.375,B,latin
183,1,2020,12,11,6108393,Kid Cudi,5002317,12/11/2020,2020.0,12,11.0,2020,12,11,54,0.331,0.513,-15.392,0.632,0.972,0.882,133.971,37013,0.42,B,hip hop
177,7,2021,1,29,5053713,Tones And I,2820477,11/13/2020,2020.0,11,13.0,2021,2,19,79,0.806,0.513,-6.208,0.069,0.217,0.217,124.988,178157,0.503,E,australian pop
128,1,2019,12,27,5632102,Doja Cat,8671649,3/30/2018,2018.0,3,30.0,2019,12,27,71,0.689,0.516,-5.857,0.044,0.513,0.163,124.876,190920,0.209,G#/Ab,dance pop
120,1,2020,2,21,6373954,BTS,37151476,2/21/2020,2020.0,2,21.0,2020,2,21,67,0.661,0.84,-4.805,0.116,0.005,0.287,91.457,237540,0.524,C,k-pop
144,1,2021,2,19,5897983,NF,5831194,2/18/2021,2021.0,2,18.0,2021,2,19,69,0.793,0.65,-3.944,0.397,0.371,0.854,128.111,243750,0.809,C#/Db,hip hop
85,5,2021,7,9,6711375,Madison Beer,3363988,6/4/2021,2021.0,6,4.0,2021,7,23,86,0.386,0.426,-6.642,0.036,0.807,0.14,180.104,203385,0.261,D#/Eb,alt z
29,6,2021,6,25,10032746,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075,6/15/2021,2021.0,6,15.0,2021,7,23,89,0.839,0.711,-4.733,0.047,0.398,0.118,97.99,349547,0.573,F#/Gb,latin
2,46,2020,5,1,4966878,Drake,56327031,4/3/2020,2020.0,4,3.0,2021,2,12,78,0.834,0.454,-9.75,0.201,0.321,0.114,81.618,247059,0.837,C#/Db,canadian hip hop
46,10,2021,7,23,10315460,Galantis,3120157,5/20/2021,2021.0,5,20.0,2021,7,23,89,0.595,0.784,-4.878,0.102,0.216,0.061,124.111,183726,0.479,C#/Db,dance pop
1,12,2020,7,24,5845457,Taylor Swift,42227614,7/24/2020,2020.0,7,24.0,2020,12,11,79,0.613,0.581,-8.588,0.042,0.537,0.25,130.033,239560,0.551,C,pop
116,21,2019,12,27,4426791,Panic! At The Disco,10850424,6/22/2018,2018.0,6,22.0,2020,6,26,81,0.579,0.904,-2.729,0.062,0.193,0.064,82.014,190947,0.681,F,modern rock
56,4,2020,6,19,5031845,Tyla Yaweh,359133,6/12/2020,2020.0,6,12.0,2020,7,3,73,0.457,0.621,-5.923,0.138,0.218,0.094,85.359,224638,0.634,A#/Bb,cali rap
68,1,2020,3,6,9824605,Lil Uzi Vert,11821805,3/6/2020,2020.0,3,6.0,2020,3,6,63,0.775,0.757,-4.139,0.175,0.162,0.148,142.933,188800,0.562,A,melodic rap
11,4,2020,10,2,6846771,BLACKPINK,23848461,10/2/2020,2020.0,10,2.0,2020,10,23,67,0.653,0.662,-6.168,0.162,0.005,0.063,111.712,161168,0.674,G,k-pop
157,1,2020,9,4,5117128,Saweetie,1255573,8/28/2020,2020.0,8,28.0,2020,9,4,64,0.948,0.63,-7.011,0.219,0.006,0.074,100.032,253569,0.425,C#/Db,cali rap
45,19,2021,4,30,6660319,Bruno Mars,32574754,10/5/2010,2010.0,10,5.0,2021,7,23,83,0.523,0.606,-4.754,0.03,0.512,0.106,145.837,217867,0.065,C#/Db,dance pop
135,4,2021,7,23,5912784,Jamie Miller,64288,4/30/2021,2021.0,4,30.0,2021,7,23,85,0.558,0.454,-5.335,0.055,0.499,0.146,113.12,158594,0.424,F#/Gb,pop soul
93,2,2020,6,12,4513982,NLE Choppa,3372385,6/12/2020,2020.0,6,12.0,2020,6,19,62,0.806,0.749,-5.268,0.328,0.084,0.062,140.032,145167,0.77,C#/Db,memphis hip hop
157,1,2020,8,7,5074613,DaBaby,7601122,8/4/2020,2020.0,8,4.0,2020,8,7,69,0.709,0.679,-6.503,0.346,0.012,0.097,162.973,153467,0.754,B,north carolina hip hop
30,2,2020,1,17,7157402,Eminem,46814751,1/17/2020,2020.0,1,17.0,2020,1,24,66,0.68,0.82,-4.197,0.151,0.061,0.597,140.033,234653,0.243,E,detroit hip hop
15,6,2020,12,18,10609206,Justin Bieber,48544923,1/1/2011,2011.0,1,1.0,2020,12,25,59,0.657,0.56,-9.049,0.047,0.498,0.079,161.993,182947,0.854,F#/Gb,canadian pop
17,78,2020,4,24,4975720,Travis Scott,17719446,10/4/2019,2019.0,10,4.0,2021,6,18,84,0.598,0.427,-8.764,0.032,0.055,0.21,76.469,175721,0.061,G,rap
59,1,2020,11,27,11066606,"Bad Bunny, ABRA",36177712,11/27/2020,2020.0,11,27.0,2020,11,27,70,0.612,0.561,-6.054,0.085,0.06,0.145,191.911,163053,0.393,C#/Db,latin
195,1,2021,5,21,5174437,Gjon's Tears,32257,3/10/2021,2021.0,3,10.0,2021,5,21,69,0.534,0.365,-9.187,0.033,0.81,0.158,123.466,183707,0.237,A,
94,1,2020,1,17,8277608,Eminem,46814751,1/17/2020,2020.0,1,17.0,2020,1,17,61,0.89,0.664,-6.625,0.106,0.005,0.257,93.007,247733,0.467,E,detroit hip hop
